tCustomerCode,tCompanyCode,tCompany,tAyalaCode,tCustomerType,tCompanyName,tLastname,tFirstname,tMiddlename,tSuffix,tNickname,tCivilStatus,tTitle,tPrimaryAddress,tMobile,tLandline,tEmail,tGender,tTin,dBirthdate,tCustomerClassification,tServiceClassification,tTenure,dTenure,tFacebookAccount,iTotalPurchase,iTotalReceivables,tAssignedSE,tRecentSA,iCreditTerms,tContactPerson,tNatureofBusiness,tLastUpdate,bARC,tARCSubsidiary,tARCNumber,dARCValidity,bPotential
387294,HCMI,HCMI,141739,I,,FISHER,AGUIRRE,HOGAN,,,Married,Mrs.,BULI MUNTINLUPA CITY,9170000019,7780019,testemail19@YAHOO.COM,Female,,01/01/1900,,,,07/02/2018,,0,0,,,0,,,02/07/2018,0,,,,
390504,HCMI,HCMI,141740,I,,PARKER,BARNES,VELAZQUEZ,,,Married,Mr.,AYALA AVENUE MAKATI CITY,9170000020,7780020,testemail20@YAHOO.COM,Male,,01/01/1900,,,,09/05/2018,,0,0,,,0,,,05/09/2018,0,,,,
390044,HCMI,HCMI,141741,I,,CAMERON,GRIFFIN,HARRIS,,,Separated,Ms.,SALCEDO VILLAGE MAKATI CITY,9170000021,7780021,testemail21@YAHOO.COM,Female,,01/01/1900,,,,24/04/2018,,0,0,,,0,,,5/28/18,0,,,,
389912,HCMI,HCMI,141742,I,,DAVIDSON,WALTERS,MADDOX,,,Single,Mr.,FORT BONIFACIO TAGUIG CITY,9170000022,7780022,testemail22@YAHOO.COM,Male,,01/01/1900,,,,19/04/2018,,0,0,,,0,,,4/19/18,0,,,,
386410,HCMI,HCMI,141743,I,,STRICKLAND,WILKERSON,MEJIA,,,Single,Mr.,SAN ISIDRO PARANAQUE CITY,9170000023,7780023,testemail23@YAHOO.COM,Male,,01/01/1900,,,,16/01/2018,,0,0,,,0,,,1/16/18,0,,,,
387804,HCMI,HCMI,141744,I,,BASS,BRAY,KLEIN,,,Married,Mr.,B. F. HOMES UNO PARANAQUE CITY,9170000024,7780024,testemail24@YAHOO.COM,Male,,01/01/1900,,,,20/02/2018,,0,0,,,0,,,2/20/18,0,,,,
388862,HCMI,HCMI,141745,I,,WINTERS,HULL,KANE,,,Single,Mr.,LEGASPI VILLAGE MAKATI CITY,9170000025,7780025,testemail25@YAHOO.COM,Male,,01/01/1900,,,,20/03/2018,,0,0,,,0,,,4/22/18,0,,,,
390269,HCMI,HCMI,141746,I,,BARKER,STEVENS,SOTO,,,Single,Mr.,AYALA AVENUE MAKATI CITY,9170000026,7780026,testemail26@YAHOO.COM,Male,,01/01/1900,,,,01/05/2018,,0,0,,,0,,,7/13/18,0,,,,
388861,HCMI,HCMI,141747,I,,SCHWARTZ,CASE,STRICKLAND,,,Single,Mr.,BANGKAL MAKATI CITY,9170000027,7780027,testemail27@YAHOO.COM,Male,,01/01/1900,,,,20/03/2018,,0,0,,,0,,,3/20/18,0,,,,
387025,HCMI,HCMI,141748,I,,WALKER,WILEY,SHERMAN,,,Married,Mrs.,"SAN ANTONIO SAN PEDRO, LAGUNA",9170000028,7780028,testemail28@YAHOO.COM,Female,,01/01/1900,,,,31/01/2018,,0,0,,,0,,,1/31/18,0,,,,
387076,HCMI,HCMI,141749,I,,BLACKWELL,MUNOZ,HOWE,,,Single,Mr.,GUADALUPE VIEJO MAKATI CITY,9170000029,7780029,testemail29@YAHOO.COM,Male,,01/01/1900,,,,01/02/2018,,0,0,,,0,,,02/05/2018,0,,,,
388781,HCMI,HCMI,141750,I,,PACE,BERNARD,WEBB,,,Married,Ms.,B. F. HOMES UNO PARANAQUE CITY,9170000030,7780030,testemail30@YAHOO.COM,Female,,01/01/1900,,,,17/03/2018,,0,0,,,0,,,3/17/18,0,,,,
390012,HCMI,HCMI,141752,I,,BLANCHARD,MIDDLETON,GONZALEZ,,,Married,Mrs.,TAMBO PARANAQUE CITY,9170000031,7780031,testemail31@YAHOO.COM,Female,,01/01/1900,,,,24/04/2018,,0,0,,,0,,,4/24/18,0,,,,
388183,HCMI,HCMI,141753,I,,MOSS,RICHMOND,CROSS,,,Married,Col.,B. F. HOMES UNO PARANAQUE CITY,9170000032,7780032,testemail32@YAHOO.COM,Male,,01/01/1900,,,,28/02/2018,,0,0,,,0,,,3/20/18,0,,,,
388003,HCMI,HCMI,141754,I,,SCHWARTZ,SANCHEZ,HARPER,,,Married,Mr.,TALON TRES LAS PINAS CITY,9170000033,7780033,testemail33@YAHOO.COM,Male,,01/01/1900,,,,24/02/2018,,0,0,,,0,,,04/07/2018,0,,,,
390868,HCMI,HCMI,141755,I,,SHARP,RODRIGUEZ,BRAY,,,Single,Ms.,NANGKA MARIKINA CITY,9170000034,7780034,testemail34@YAHOO.COM,Female,,01/01/1900,,,,23/05/2018,,0,0,,,0,,,5/23/18,0,,,,
389204,HCMI,HCMI,141756,I,,WILLIS,SNOW,FRENCH,,,Married,Mr.,MERVILLE PARK PARANAQUE CITY,9170000035,7780035,testemail35@YAHOO.COM,Male,,01/01/1900,,,,28/03/2018,,0,0,,,0,,,4/20/18,0,,,,
389752,HCMI,HCMI,140386,I,,MYERS,GILL,MORAN,,,Married,Mrs.,"TIMBAO BINAN, LAGUNA",9170000036,7780036,testemail36@YAHOO.COM,Female,,01/01/1900,,,,17/04/2018,,0,0,,,0,,,4/17/18,0,,,,
388870,HCMI,HCMI,141757,I,,ROBLES,GAY,BURNETT,,,Married,Mr.,RIZAL VILLAGE MAKATI CITY,9170000037,7780037,testemail37@YAHOO.COM,Male,,01/01/1900,,,,20/03/2018,,0,0,,,0,,,4/30/18,0,,,,
386034,HCMI,HCMI,141758,I,,QUINN,PACE,LUCAS,,,Single,Mr.,"MAYAMOT ANTIPOLO CITY, RIZAL",9170000038,7780038,testemail38@YAHOO.COM,Male,,01/01/1900,,,,05/01/2018,,0,0,,,0,,,01/05/2018,0,,,,
387089,HCMI,HCMI,141759,I,,SCHMIDT,VINCENT,RITTER,,,Married,Mrs.,DON BOSCO PARANAQUE CITY,9170000039,7780039,testemail39@YAHOO.COM,Female,,01/01/1900,,,,01/02/2018,,0,0,,,0,,,02/01/2018,0,,,,
388120,HCMI,HCMI,141760,I,,OCHOA,OCONNELL,MILES,,,Married,Mr.,INDUSTRIAL VALLEY MARIKINA CITY,9170000040,7780040,testemail40@YAHOO.COM,Male,,01/01/1900,,,,27/02/2018,,0,0,,,0,,,2/27/18,0,,,,
389758,HCMI,HCMI,141761,I,,POOLE,CAREY,HENDERSON,,,Married,Mr.,B. F. HOMES UNO PARANAQUE CITY,9170000041,7780041,testemail41@YAHOO.COM,Male,,01/01/1900,,,,17/04/2018,,0,0,,,0,,,5/23/18,0,,,,
390161,HCMI,HCMI,141762,I,,DIAZ,HARPER,DORSEY,,,Single,Ms.,"PLATERO BINAN, LAGUNA",9170000042,7780042,testemail42@YAHOO.COM,Female,,01/01/1900,,,,27/04/2018,,0,0,,,0,,,07/01/2018,0,,,,
386301,HCMI,HCMI,141763,I,,FARLEY,FLEMING,HOLLAND,,,Married,Ms.,"MOLINO IV BACOOR, CAVITE",9170000043,7780043,testemail43@YAHOO.COM,Female,,01/01/1900,,,,13/01/2018,,0,0,,,0,,,1/13/18,0,,,,
387909,HCMI,HCMI,141764,I,,DORSEY,CONRAD,BROOKS,,,Single,Mr.,BAMBANG PASIG CITY,9170000044,7780044,testemail44@YAHOO.COM,Male,,01/01/1900,,,,22/02/2018,,0,0,,,0,,,2/22/18,0,,,,
387315,HCMI,HCMI,141765,I,,MAY,HUFF,MCGRATH,,,Married,Mrs.,LOWER BICUTAN TAGUIG CITY,9170000045,7780045,testemail45@YAHOO.COM,Female,,01/01/1900,,,,07/02/2018,,0,0,,,0,,,3/24/18,0,,,,
389429,HCMI,HCMI,141766,I,,CALDWELL,GRANT,JOHNS,,,,Ms.,POBLACION MAKATI CITY,9170000046,7780046,testemail46@YAHOO.COM,Female,,01/01/1900,,,,05/04/2018,,0,0,,,0,,,04/05/2018,0,,,,
389277,HCMI,HCMI,141767,I,,CHOI,AGUILAR,MORA,,,Single,Mr.,"P.F. ESPIRITU I (PANAPAAN) BACOOR, CAVITE",9170000047,7780047,testemail47@YAHOO.COM,Male,,01/01/1900,,,,02/04/2018,,0,0,,,0,,,04/02/2018,0,,,,
390520,HCMI,HCMI,141768,I,,BALDWIN,BARTLETT,JAMES,,,Single,Ms.,SAN JOAQUIN PASIG CITY,9170000048,7780048,testemail48@YAHOO.COM,Female,,01/01/1900,,,,09/05/2018,,0,0,,,0,,,05/09/2018,0,,,,
385916,HCMI,HCMI,141769,I,,VELASQUEZ,DANIELS,MOODY,,,Married,Mr.,AYALA AVENUE MAKATI CITY,9170000049,7780049,testemail49@YAHOO.COM,Male,,01/01/1900,,,,02/01/2018,,0,0,,,0,,,01/02/2018,0,,,,
390106,HCMI,HCMI,141770,I,,MCINTYRE,STARK,MORGAN,,,Married,Mrs.,FORT BONIFACIO TAGUIG CITY,9170000050,7780050,testemail50@YAHOO.COM,Female,,01/01/1900,,,,25/04/2018,,0,0,,,0,,,7/28/18,0,,,,
388449,HCMI,HCMI,141771,I,,WATERS,CISNEROS,GRIMES,,,Married,Mr.,SUCAT MUNTINLUPA CITY,9170000051,7780051,testemail51@YAHOO.COM,Male,,01/01/1900,,,,09/03/2018,,0,0,,,0,,,4/16/18,0,,,,
388468,HCMI,HCMI,141772,I,,MORRISON,MELTON,KEMP,,,Single,Mr.,ROSARIO PASIG CITY,9170000052,7780052,testemail52@YAHOO.COM,Male,,01/01/1900,,,,10/03/2018,,0,0,,,0,,,03/10/2018,0,,,,
386680,HCMI,HCMI,141773,I,,LOPEZ,COFFEY,WATERS,,,Married,Mr.,"DAANG AMAYA I TANZA, CAVITE",9170000053,7780053,testemail53@YAHOO.COM,Male,,01/01/1900,,,,22/01/2018,,0,0,,,0,,,3/26/18,1,Honda,ACC-257635,,
391118,HCMI,HCMI,141774,I,,RUSSELL,WARE,WHITE,,,Married,Mrs.,DILIMAN QUEZON CITY,9170000054,7780054,testemail54@YAHOO.COM,Female,,01/01/1900,,,,29/05/2018,,0,0,,,0,,,5/29/18,0,,,,
387683,HCMI,HCMI,141775,I,,GAINES,YORK,KENNEDY,,,Single,Mr.,UGONG PASIG CITY,9170000055,7780055,testemail55@YAHOO.COM,Male,,01/01/1900,,,,16/02/2018,,0,0,,,0,,,3/21/18,0,,,,
387519,HCMI,HCMI,141776,I,,CUEVAS,OWENS,DUNCAN,,,Widow,Mr.,ORTIGAS CENTER BRGY.SAN ANTONIO PASIG CITY,9170000056,7780056,testemail56@YAHOO.COM,Male,,01/01/1900,,,,12/02/2018,,0,0,,,0,,,2/14/18,0,,,,
389957,HCMI,HCMI,141777,I,,ZHANG,MOONEY,OROZCO,,,Married,Mr.,FORT BONIFACIO TAGUIG CITY,9170000057,7780057,testemail57@YAHOO.COM,Male,,01/01/1900,,,,20/04/2018,,0,0,,,0,,,5/26/18,0,,,,
389678,HCMI,HCMI,141778,I,,GORDON,WARE,BOOKER,,,Single,Ms.,AYALA AVENUE MAKATI CITY,9170000058,7780058,testemail58@YAHOO.COM,Female,,01/01/1900,,,,14/04/2018,,0,0,,,0,,,05/02/2018,0,,,,
17162,IADI,IADI,141779,I,,SANCHEZ,DANIEL,YU,,,MARRIED,,SAN ANTONIO MAKATI CITY,9170000059,7780059,@YAHOO.COM,M,,01/01/1900,Regular,E,1/13/00,15/12/2005,,,71167.48,,,,,,,0,,,,
21430,IADI,IADI,141780,I,,HEATH,CARNEY,YANG,,,MARRIED,,QUEZON CITY CPO QUEZON CITY,9170000060,7780060,@YAHOO.COM,M,,01/01/1900,Regular,E,01/08/2000,10/06/2010,,9613,9613,,,,,,,0,,,,
134877,IADI,IADI,141781,I,,REYES,GREGORY,KNIGHT,,,,,"GULOD LABAK BATANGAS CITY, BATANGAS",9170000061,7780061,@YAHOO.COM,M,,01/01/1900,Regular,E,01/05/2000,03/06/2013,,800,800,,,,,,,0,,,,
147966,IADI,IADI,NULL,C,HERMANCARLSON CORPORATION,,,,,,,,"SAN ISIDRO CAINTA, RIZAL",9170000062,7780062,NOMAIL@ISUZU.COM@YAHOO.COM, ,,01/01/1900,,E,01/03/2000,22/12/2015,,3298,3298,,,,JASON LABBUANAN,Construction,12/10/2015,0,,,,
147968,IADI,IADI,141782,I,,TREVINO,FREDERICK,SIMPSON,,,MARRIED,,STA. CRUZ NORTH MANILA,9170000063,7780063,@YAHOO.COM,M,,01/01/1900,Regular,E,01/03/2000,14/12/2015,,1225500,705500,"DE CASTRO, SHERRY ",,,,,12/10/2015,0,,,,
147974,IADI,IADI,141783,I,,GUERRA,OCHOA,CERVANTES,,,MARRIED,,ORTIGAS PASIG CITY,9170000064,7780064,@YAHOO.COM,F,,01/01/1900,Regular,E,01/03/2000,10/12/2015,,,4600,,,,,,,0,,,,
147975,IADI,IADI,141784,I,,JENKINS,CUEVAS,PENA,,MARK,SINGLE,,"POBLACION BARANGAY 10 LIPA CITY, BATANGAS",9170000065,7780065,JAYSON84@GMAIL.COM@YAHOO.COM,M,,01/01/1900,Regular,E,01/03/2000,16/12/2015,,1255500,1237110,"MARBELLA, MARIA CRISTY B",,,,,12/10/2015,0,,,,
147977,IADI,IADI,139662,I,,CALDWELL,KIDD,BENTLEY,,EMMANUEL,SINGLE,,PASONG TAMO MAKATI CITY,9170000066,7780066,nimfardf@yahoo.com@YAHOO.COM,M,,01/01/1900,Regular,E,01/03/2000,10/12/2015,,,,"MARBELLA, MARIA CRISTY B",,,,,12/10/2015,0,,,,
147978,IADI,IADI,125159,C,VEGAJORDAN CORPORATION,,,,,,,,AYALA AVENUE MAKATI CITY,9170000067,7780067,MARIA.TRANQUILO@PH.YUSEN-LOGISTICS.COM@YAHOO.COM, ,,01/01/1900,,C,01/03/2000,18/12/2015,,1461567,1449134.54,"MARBELLA, MARIA CRISTY B",,,ANNA TRANQUILIRO,FORWARDER,12/10/2015,0,,,,
147980,IADI,IADI,141785,I,,DUDLEY,ROLLINS,RHODES,,,MARRIED,,BARANGAY 109 PASAY CITY,9170000068,7780068,rodbravd13@gmail.com@YAHOO.COM,F,,01/01/1900,Regular,E,01/03/2000,18/12/2015,,1408000,263210,"QUICO, RICA ANNE M.",,,,,4/24/17,1,Isuzu,ACC-101654,,
147981,IADI,IADI,113904,I,,TRAVIS,REILLY,BARRETT,,,SINGLE,MS.,ORTIGAS PASIG CITY,9170000069,7780069,@YAHOO.COM,F,,01/01/1900,Regular,E,01/02/2000,11/01/2016,,1134,1134,,,,,,,0,,,,
147982,IADI,IADI,141786,I,,SHERMAN,VALDEZ,ESTRADA,,,MARRIED,,BRGY. AYALA ALABANG MUNTINLUPA CITY,9170000070,7780070,@YAHOO.COM,F,,01/01/1900,Regular,C,01/03/2000,18/12/2015,,1430602.25,373712.25,"ABOY, PRINCESS ",,,,,4/24/17,1,Isuzu,ACC-101960,,
147983,IADI,IADI,100111,I,,DOWNS,KENT,CAIN,,,MARRIED,,SAN DIONISIO PARANAQUE CITY,9170000071,7780071,CODIE_REGISDEGUZMAN@GMAIL.COM@YAHOO.COM,M,,01/01/1900,Regular,E,01/03/2000,15/12/2015,,1216460,1156460,"CIANO, JYNKHY ",,,,,12/10/2015,0,,,,
147990,IADI,IADI,141787,I,,HARDY,JOSEPH,ANDREWS,,,MARRIED,,PASEO DE ROXAS MAKATI CITY,9170000072,7780072,@YAHOO.COM,M,,01/01/1900,Regular,E,01/03/2000,18/12/2015,,1439004.5,27404.5,"ABOY, PRINCESS ",,,,,4/24/17,1,Isuzu,ACC-102241,,
147996,IADI,IADI,53503,C,KAISERWALKER CORPORATION,,,,,,,,LITTLE BAGUIO SAN JUAN,9170000073,7780073,jdgonzales@rfm.com.ph@YAHOO.COM, ,,01/01/1900,,E,01/03/2000,11/12/2015,,,,,,,JEFFREY GONZALES,Banking & Finance,12/11/2015,0,,,,
147999,IADI,IADI,94777,C,TAYLORROSALES CORPORATION,,,,,,,,AYALA AVENUE MAKATI CITY,9170000074,7780074,jdgonzales@rfm.com.ph@YAHOO.COM, ,,01/01/1900,,E,01/03/2000,11/12/2015,,144493.9,90879.54,,,34,JEFFREY GONZALES,Banking & Finance,12/11/2015,0,,,,
148004,IADI,IADI,9415,I,,BAKER,RICHARDSON,BAIRD,,,SINGLE,MR.,TALON KUATRO LAS PINAS CITY,9170000075,7780075,@YAHOO.COM,M,,01/01/1900,Regular,E,01/03/2000,11/12/2015,,5292,5292,,,,,,,0,,,,
148007,IADI,IADI,141788,I,,PARSONS,HIGGINS,GOOD,,,MARRIED,MR.,PILAR VILLAGE LAS PINAS CITY,9170000076,7780076,@YAHOO.COM,M,,01/01/1900,Regular,E,01/03/2000,11/12/2015,,38293,38293,,,,,,11/03/2016,0,,,,
148015,IADI,IADI,140203,I,,SAWYER,BRANDT,OCHOA,,,MARRIED,,BRGY. AYALA ALABANG MUNTINLUPA CITY,9170000077,7780077,@YAHOO.COM,M,,01/01/1900,Regular,E,01/02/2000,03/02/2016,,19129,19129,"DE CASTRO, SHERRY ",,,,,12/11/2015,0,,,,
148017,IADI,IADI,141789,I,,TYLER,SCHMIDT,ANDERSON,,,MARRIED,,STA. ANA MANILA,9170000078,7780078,@YAHOO.COM,F,,01/01/1900,Regular,C,01/01/2000,08/05/2017,,14495,15405,,,,,,05/09/2017,0,,,,
148019,IADI,IADI,141790,I,,BELL,POTTER,DONALDSON,,,MARRIED,,TANDANG SORA QUEZON CITY,9170000079,7780079,KIMJOY.JJ76@GMAIL.COM@YAHOO.COM,M,,01/01/1900,Regular,C,01/03/2000,17/12/2015,,1272425.9,753310.7,"SENDON, PAUL JONATHAN T",,,,,4/24/17,1,Isuzu,ACC-102038,,
134878,IADI,IADI,104978,I,,LEWIS,CUMMINGS,JIMENEZ,,,,MR.,POBLACION MAKATI CITY,9170000080,7780080,@YAHOO.COM,M,,01/01/1900,Regular,E,01/05/2000,03/06/2013,,,4000,,,,,,,0,,,,
134879,IADI,IADI,141793,I,,BLACKBURN,CONNER,#N/A,,NOEL,MARRIED,MR.,TALON DOS LAS PINAS CITY,9170000081,7780081,@YAHOO.COM,M,,01/01/1900,Acentive Employee,E,01/05/2000,13/06/2013,,906542.03,905722.03,"GARIGUEZ, ERICSON ",,,,,06/03/2013,0,,,,
134880,IADI,IADI,141794,I,,SMITH,GUERRA,MEYERS,,,MARRIED,,SANTA LUCIA SAN JUAN,9170000082,7780082,@YAHOO.COM,M,,01/01/1900,Regular,E,01/05/2000,21/06/2013,,762798,762798,"NATANAUAN, VALERIE ANN M",,,,,,0,,,,
134881,IADI,IADI,,C,BLACKWELLBLEVINS CORPORATION,,,,,,,,SAN ANTONIO PASIG CITY,9170000083,7780083,@YAHOO.COM, ,,01/01/1900,,E,01/05/2000,03/06/2013,,,,,,,,Others,06/03/2013,0,,,,
134882,IADI,IADI,74,C,EVANSHERRING CORPORATION,,,,,,,,VITALEZ PARANAQUE CITY,9170000084,7780084,DAVID.MONASTERIAL@SWEDISHMATCH.COM@YAHOO.COM, ,,01/01/1900,,E,01/03/2000,15/01/2015,,1426616.5,1497469.36,"CIANO, JYNKHY ",,,,MANUFACTURING INDUSTRY,06/03/2013,0,,,,
134883,IADI,IADI,141795,I,,HANCOCK,AYERS,FISCHER,,,MARRIED,,"SAN JUAN CAINTA, RIZAL",9170000085,7780085,@YAHOO.COM,F,,01/01/1900,Regular,E,01/05/2000,27/07/2013,,4908,3408,,,,,,,0,,,,
134884,IADI,IADI,141796,I,,CARSON,VASQUEZ,PRICE,,,MARRIED,,IMUS CAVITE,9170000086,7780086,@YAHOO.COM,M,,01/01/1900,Regular,E,01/05/2000,04/06/2013,,26044.4,26044.4,,,,,,,0,,,,
134885,IADI,IADI,141797,I,,HUANG,SALAS,WATSON,JR.,,MARRIED,MR.,CAVITE JAVALERA GENERAL TRIAS,9170000087,7780087,@YAHOO.COM,M,,01/01/1900,Regular,E,01/05/2000,06/06/2013,,917493.71,452371,"RACHO, BRIANT S",,,,,06/04/2013,0,,,,
134887,IADI,IADI,141798,I,,RHODES,HUGHES,CASTANEDA,,,,,NULL,9170000088,7780088,@YAHOO.COM,M,,01/01/1900,Regular,E,01/05/2000,04/06/2013,,3470,4970,,,,,,,0,,,,
134888,IADI,IADI,21743,I,,VILLA,COLEMAN,DAVIDSON,,,MARRIED,,CUPANG MUNTINLUPA CITY,9170000089,7780089,@YAHOO.COM,M,,01/01/1900,Regular,E,01/05/2000,04/06/2013,,,,,,,IRENEO,,,0,,,,
134889,IADI,IADI,141799,I,,BYRD,JACOBSON,BREWER,,,MARRIED,MR.,SAN ISIDRO PARANAQUE CITY,9170000090,7780090,OLIVIA_HERMO@YAHOO.COM@YAHOO.COM,M,,01/01/1900,Regular,E,01/05/2000,06/06/2013,,1205054.3,42172.23,"LUNA, NINO B.",,,,,06/04/2013,0,,,,
134890,IADI,IADI,141800,I,,MCINTYRE,GORDON,BLANKENSHIP,,,MARRIED,MR.,HIGHWAY HILLS MANDALUYONG CITY,9170000091,7780091,@YAHOO.COM,M,,01/01/1900,Regular,E,01/05/2000,07/06/2013,,803344.5,250924.5,"SALAZAR, CHRISTINE ANN D",,,,,06/04/2013,0,,,,
134891,IADI,IADI,141801,I,,LEONARD,FRYE,ROTH,,,MARRIED,,AYALA AVENUE MAKATI CITY,9170000092,7780092,@YAHOO.COM,F,,01/01/1900,Regular,E,01/05/2000,04/06/2013,,,1000,,,,,,,0,,,,
134892,IADI,IADI,62925,I,,BARNETT,DILLON,FERRELL,,,MARRIED,,CANLUBANG LAGUNA,9170000093,7780093,@YAHOO.COM,F,,01/01/1900,Regular,E,01/05/2000,04/06/2013,,5953,5953,,,,,,,0,,,,
134893,IADI,IADI,141802,I,,BRIGGS,CAMERON,FLETCHER,,,MARRIED,,GUADALUPE NUEVO MAKATI CITY,9170000094,7780094,NOEMAIL@ISUZU.COM@YAHOO.COM,F,,01/01/1900,CSS,C,01/05/2000,05/06/2013,,5011906.71,922864.71,"GASPAR, CAREN PEARL OLIVEROS",,,,,10/03/2016,0,,,,
134894,IADI,IADI,141803,I,,MELTON,HALE,BENDER,,,MARRIED,,SANTO NINO PARANAQUE CITY,9170000095,7780095,@YAHOO.COM,M,,01/01/1900,Regular,E,01/05/2000,05/06/2013,,650,650,,,,,,,0,,,,
